Product,Entity,Operation,Campaign ID,Ad Group ID,Portfolio ID,Ad ID,Keyword ID,Product Targeting ID,Campaign Name,Ad Group Name,Start Date,End Date,Targeting Type,State,Daily Budget,SKU,Ad Group Default Bid,Bid,Keyword Text,Native Language Keyword,Native Language Locale,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Audience ID,Shopper Cohort Percentage,Shopper Cohort Type
Sponsored Products,Campaign,Update,274767781582020,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_funny_birthday_card_for_dad_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,182726366631268,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_presents_for_dad_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,34356483815627,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP02_AUTO_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,116913417085442,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTbroad_college_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,252447832731421,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTbroad_college_v2_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,119154426559082,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTcollege_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,11257582606053,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTbroad_gift_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,216250577703282,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTgraduation_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,4730586189179,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTphrase_college_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,276699976793797,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP03_PTcollege_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,192305457957132,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTexact_college_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,114350817072595,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTgift_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,70032782983741,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTphrase_college_v2_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,107779409662302,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP03_PT080526_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,103314261747953,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTexact_college_v2_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,26516166337570,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTcollege_v2_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,106512932965436,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTphrase_gift_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,22521724852326,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTphrase_college_v3_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,234589576317386,,213955751086524,,,,GRADUATION2026_BOOK_COLLEGESURVIVAL_SP00_KTphrase_college_v4_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
